name,city,state,identifier,rating,address,latitude,longitude,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
magdalena ecke family ymca,encinitas,california,encinitas,4,"200 Saxony Rd, Encinitas, CA 92024",33.0526106,-117.2867675,wood/masonite & concrete,california skateparks,california skateparks,,,37000,,This skatepark costs money to skate and requires a helmet/pads,,,,,,6,"vert ramp, bowls, ledges, rails, pyramids, banks, metal coping, pool coping"
leucadia oaks,encinitas,california,encinitas2,1,"1511 N Vulcan Ave, Encinitas, CA 92024",33.074011,-117.3048584,concrete,,,,,,,,,,,,,2,
community skatepark,encinitas,california,encinitas3,4,"425 Santa Fe Dr, Encinitas, CA 92024",33.034163,-117.283405,concrete,stantec,,2014,,34000,,,,,,,,6,
pedlow,encino,california,encino,3,"17334 Victory Blvd, Encino, CA 91406",34.1858495,-118.5114407,concrete,purkiss rose,california skateparks,2001,,20000,,,,,,,,4,
escondido sports center,escondido,california,escondido,3,"Entrance Dr & Casteneda Dr, Escondido, CA 92025",33.0783151,-117.0605834,wood/masonite,,,,,22000,,This is a private skatepark that costs money to skate and requires a helmet/pads,,,,,,3,
,eureka,california,eureka,4,"1720 10th St, Eureka, CA 95501",40.7997536,-124.1514135,concrete,wormhoudt inc.,,2010,,12000,,,,,,,,6,
allan witt rotary skatepark,fairfield,california,fairfield,3,"1900 Woolner Ave, Fairfield, CA 94533",38.24656,-122.06281,concrete,,,,Dawn - Dusk,,,,,,,,,4,
travis air force base,fairfield,california,fairfield2,2,"Twin Peaks Dr & Fairchild Dr, Fairfield, CA 94535",38.2773089,-121.9512023,prefabricated ramps,,,,,,,The skatepark is located on Twin Peaks Dr. north of the intersection with Fairchild across the street from some basketball courts,,yes,,,,1,"mini ramp, banks"
,fillmore,california,fillmore,3,"River St & C St, Fillmore, CA 93015",34.39307,-118.926799,concrete,community works,california skateparks,,,12000,,,,,northwestskater.com,http://www.northwestskater.com/fillmore.html,,5,
maldonado skatepark,firebaugh,california,firebaugh,3,"Clyde Fannon Rd & Thomas Conboy Ave, Firebaugh, CA 93622",36.8680271,-120.4634535,concrete,wormhoudt inc.,clark bros construction inc,2008,,14000,cost $767000,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/24552-maldonado-skate-park-firebaugh-california-usa,,4,
mathy bethune skatepark,florence,california,florence,2,"Hooper Ave & E 62nd St, Florence-Graham, CA 90001",33.9834182,-118.2520705,prefabricated ramps,,,,,,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/southern-california/20889-mathy-bethune-skate-park-florence-california-usa,,4,
