name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
Ojai Skatepark,Ojai,CA,,,California Skateparks,2000,414 East Ojai Avenue Ojai CA 93023,Dawn to Dusk,12500,,
Vans Skatepark,Orange,CA,,,RCMC California Skateparks,,20 City Boulevard West Orange CA 92861,,46000,,
Orange Cove Skatepark,Orange,CA,,,SITE Design,,S. Anchor Avenue and Parlier Avenue Orange Cove CA 93646,12:00PM - 8:00 PM,,,
Bedrock Skate and Bike Park,Oroville,CA,,,Altman Engineering,,1100 Feather River Blvd Oroville CA 95965,,14500,,
Oxnard Skatepark,Oxnard,CA,,,Wormhoudt,2004,3250 South Rose Avenue Oxnard CA 93033,M-Th 2:00-8:00 F 2:00-10:00 Sat 10:00-10:00 Sun 10:00-8:00,,,
Pacifica Skatepark,Pacifica,CA,,,,2005,540 Crespi Drive Pacifica CA 94044,M-Sat 9:00-Sunset Sun 10:30- Sunset,14000,,
P-Rod Skatepark,Pacoima,CA,,,California Skateparks,2009,10731 Laurel Canyon Blvd Pacoima CA 91331,,,,
Pala Skatepark,Pala,CA,,,California Skateparks,2008,12100 Pala Mission Road Pala CA 92059,M-F 2:00-Dusk S-Sun 2:00-6:30,,,
Palm Desert Skatepark,Palm Desert,CA,,,,,3906 San Pablo Ave Palm Desert CA 92260,6:00 AM - 10:00 PM,,,
Sunrise Plaza Skatepark,Palm Springs,CA,,,,2003,4401 South Pavilion Way Palm Springs CA 92262,12:00 - 10:00,30000,,
Chris O'Leary Skatepark,Palmdale,CA,,,,,Dominic Massari Park 37716 55th Street Palmdale CA 93552,M-F 3:00-8:00 S-S 10:00-8:00,,,
Greer Skatepark,Palo Alto,CA,,,,,1098 Amarillo Avenue Palo Alto CA 94303,,,,
