skatepark_id,city,state,address,latitude,longitude
289,pico rivera,california,"9100 Mines Ave, Pico Rivera, CA 90660",33.990066,-118.088361
290,piedmont,california,"Moraga Ave & Red Rock Rd, Piedmont, CA 94618",37.832402,-122.230441
291,placerville,california,"216 Armory Rd, Placerville, CA 95667",38.725964,-120.833339
292,pleasanton,california,"3099 Hopyard Rd, Pleasanton, CA 94588",37.677522,-121.898191
293,pleasanton,california,"7315 Johnson Dr, Pleasanton, CA 94566",37.689092,-121.913543
294,pomona,california,"E Lexington & White Ave, Pomona, CA 91766",34.035796,-117.757449
295,pomona,california,"435 W Arrow Hwy, Pomona, CA 91767",34.091094,-117.74329
296,porterville,california,"718 N Newcomb St, Porterville, CA 93257",36.078338,-119.052406
297,poway,california,"13102 Civic Center Dr, Poway, CA 92064",32.955032,-117.047096
298,quincy,california,"1304 Pioneer Rd Quincy, CA 95971",39.936742,-120.9139316
299,rancho cordova,california,"3755 Schriever Ave, Rancho Cordova, CA 95655",38.57025,-121.301343
300,rancho cucamonga,california,"7730 Spruce Ave, Rancho Cucamonga, CA 91730",34.112918,-117.568024
301,rancho santa margarita,california,"24328 Antonio Pkwy, Rancho Santa Margarita, CA 92688",33.609202,-117.615422
302,red bluff,california,"700 Diamond Ave, Red Bluff, CA 96080",40.161055,-122.224365
303,redding,california,"12 Quartz Hill Rd, Redding, CA 96003",40.595494,-122.393167
304,redwood city,california,"Vera Ave & Nevada St, Redwood City, CA 94061",37.471865,-122.238056
305,rialto,california,"2474 W Casa Grande Dr, Rialto, CA 92377",34.158138,-117.42061
306,rialto,california,"201 N Willow Ave, Rialto, CA 92376",34.102059,-117.374024
307,richmond,california,"2990 Macdonald Ave, Richmond, CA 94804",37.934209,-122.34083
308,ridgecrest,california,"300 French Ave, Ridgecrest, CA 93555",35.630335,-117.663417
309,rio vista,california,"Industrial Ct & Poppy House Rd, Rio Vista, CA 94571",38.169669,-121.688226
310,ripon,california,"1350 Hughes Ln, Ripon, CA 95366",37.741839,-121.137266
311,riverbank,california,"1St St & Santa Fe Ave, Riverbank, CA 95367",37.735712,-120.939308
312,riverside,california,"2051 11th St, Riverside, CA",33.973026,-117.355529
313,riverside,california,"4015 Jackson St, Riverside, CA 92503",33.928436,-117.440986
314,riverside (jurupa),california,"4810 Pedley Rd, Riverside, CA 92509",34.001379,-117.474777
